Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PATCH,/constructor-be/anket/5010167,1,0,580.3890410024906,580.3890410024906,580.3890410024906,580.3890410024906,2451.0,0.0006663087926396316,0.0,580,580,580,580,580,580,580,580,580,580,580
PATCH,/constructor-be/anket/5010168,1,0,687.8666669945233,687.8666669945233,687.8666669945233,687.8666669945233,2344.0,0.0006663087926396316,0.0,690,690,690,690,690,690,690,690,690,690,690
PATCH,/constructor-be/anket/5010169,1,0,603.0156659981003,603.0156659981003,603.0156659981003,603.0156659981003,2541.0,0.0006663087926396316,0.0,600,600,600,600,600,600,600,600,600,600,600
PATCH,/constructor-be/anket/5010174,1,0,773.3596670004772,773.3596670004772,773.3596670004772,773.3596670004772,2364.0,0.0006663087926396316,0.0,770,770,770,770,770,770,770,770,770,770,770
PATCH,/constructor-be/anket/5010175,1,0,779.8567499994533,779.8567499994533,779.8567499994533,779.8567499994533,2398.0,0.0006663087926396316,0.0,780,780,780,780,780,780,780,780,780,780,780
PATCH,/constructor-be/anket/5010177,1,0,268.9525419991696,268.9525419991696,268.9525419991696,268.9525419991696,2372.0,0.0006663087926396316,0.0,270,270,270,270,270,270,270,270,270,270,270
PATCH,/constructor-be/anket/5010180,1,0,370.86420800187625,370.86420800187625,370.86420800187625,370.86420800187625,2333.0,0.0006663087926396316,0.0,370,370,370,370,370,370,370,370,370,370,370
PATCH,/constructor-be/anket/5010184,1,0,454.7637919895351,454.7637919895351,454.7637919895351,454.7637919895351,2343.0,0.0006663087926396316,0.0,450,450,450,450,450,450,450,450,450,450,450
PATCH,/constructor-be/anket/5010207,1,0,393.7527500092983,393.7527500092983,393.7527500092983,393.7527500092983,2377.0,0.0006663087926396316,0.0,390,390,390,390,390,390,390,390,390,390,390
PATCH,/constructor-be/anket/5010208,1,0,487.0208329957677,487.0208329957677,487.0208329957677,487.0208329957677,2300.0,0.0006663087926396316,0.0,490,490,490,490,490,490,490,490,490,490,490
PATCH,/constructor-be/anket/5010218,1,0,887.2211669950048,887.2211669950048,887.2211669950048,887.2211669950048,2494.0,0.0006663087926396316,0.0,890,890,890,890,890,890,890,890,890,890,890
PATCH,/constructor-be/anket/5010224,1,0,851.9891670002835,851.9891670002835,851.9891670002835,851.9891670002835,2470.0,0.0006663087926396316,0.0,850,850,850,850,850,850,850,850,850,850,850
PATCH,/constructor-be/anket/5010228,1,0,1033.6372919991845,1033.6372919991845,1033.6372919991845,1033.6372919991845,2403.0,0.0006663087926396316,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
PATCH,/constructor-be/anket/5010231,1,0,1148.8165420014411,1148.8165420014411,1148.8165420014411,1148.8165420014411,2529.0,0.0006663087926396316,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
PATCH,/constructor-be/anket/5010241,1,0,571.8582080007764,571.8582080007764,571.8582080007764,571.8582080007764,2465.0,0.0006663087926396316,0.0,570,570,570,570,570,570,570,570,570,570,570
PATCH,/constructor-be/anket/5010242,1,0,1501.355333995889,1501.355333995889,1501.355333995889,1501.355333995889,2298.0,0.0006663087926396316,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
PATCH,/constructor-be/anket/5010248,1,0,240.55041700194124,240.55041700194124,240.55041700194124,240.55041700194124,2559.0,0.0006663087926396316,0.0,240,240,240,240,240,240,240,240,240,240,240
